                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90787,                 2.9646,                 1.3798,                0.51181,                0.34524,                0.36851,                0.30076,                0.69002,                 3.0389,                 1.2052,                 0.0973,                 0.0003,                 0.0003
                      2,                0.96889,                 3.9597,                 1.4248,                0.68462,                0.57857,                0.49483,                0.28794,                 1.0257,                 44.529,                 1.5826,               0.093693,             0.00069307,             0.00069307
                      3,                 1.2735,                 4.1631,                 1.6207,                0.01384,                0.80357,                0.01774,                0.00827,                 2.4215,                    inf,                 18.892,               0.090078,              0.0010782,              0.0010782
                      4,                 1.8837,                 3.2338,                 2.1323,                0.01384,                0.80357,                0.01774,                0.00827,                 5.7897,                 48.001,                 21.045,               0.086455,              0.0014555,              0.0014555
                      5,                 1.9694,                 2.6452,                 2.2088,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.082825,              0.0018248,              0.0018248
                      6,                 1.9204,                 2.4994,                 2.1522,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.079186,              0.0021861,              0.0021861
                      7,                 1.8808,                 2.5121,                 2.0796,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,                0.07554,              0.0025396,              0.0025396
                      8,                  1.905,                 2.5411,                 2.1061,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.071885,              0.0028852,              0.0028852
                      9,                 1.7642,                 2.3403,                 1.9868,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.068223,              0.0032228,              0.0032228
                     10,                  1.873,                 2.4887,                 2.1778,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.064553,              0.0035525,              0.0035525
                     11,                 1.7055,                 2.3747,                 2.0512,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.060874,              0.0038743,              0.0038743
                     12,                 1.7468,                 2.4268,                  2.021,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.057188,              0.0041882,              0.0041882
                     13,                 1.8281,                 2.5001,                  2.164,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.053494,              0.0044941,              0.0044941
                     14,                 1.8063,                 2.3526,                 2.0808,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.049792,              0.0047922,              0.0047922
                     15,                 1.8155,                 2.3999,                 2.0822,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.046082,              0.0050823,              0.0050823
                     16,                 1.6851,                  2.286,                 1.9952,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.042364,              0.0053644,              0.0053644
                     17,                 1.7718,                 2.2558,                 1.9643,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.038639,              0.0056387,              0.0056387
                     18,                 1.6807,                 2.2462,                 1.9134,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.034905,              0.0059051,              0.0059051
                     19,                 1.6878,                 2.2553,                 1.9409,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.031163,              0.0061635,              0.0061635
                     20,                 1.6255,                 2.1722,                 1.9572,                0.00487,                    0.1,                0.00219,                0.00035,                    nan,                    nan,                    nan,               0.027414,               0.006414,               0.006414
                     21,                 1.7063,                  2.279,                 1.9597,                0.00487,                    0.1,                0.00219,                0.00035,                 5.2037,                    inf,                 393.82,               0.023657,              0.0066566,              0.0066566
                     22,                 1.7005,                 2.2185,                 1.9401,                0.00487,                    0.1,                0.00219,                0.00035,                 5.8763,                    inf,                  113.3,               0.019891,              0.0068913,              0.0068913
                     23,                 1.6901,                 2.1427,                 1.9557,                0.00487,                    0.1,                0.00219,                0.00035,                 6.2279,                    inf,                 27.742,               0.016118,               0.007118,               0.007118
                     24,                 1.6633,                  2.184,                 1.9975,                0.00487,                    0.1,                0.00219,                0.00035,                 5.8294,                    inf,                 13.106,               0.012337,              0.0073369,              0.0073369
                     25,                 1.7248,                 2.1562,                 1.9895,                0.00487,                    0.1,                0.00219,                0.00035,                 4.8123,                    inf,                 9.0317,              0.0085478,              0.0075478,              0.0075478
                     26,                 1.6246,                 2.1124,                    1.9,                0.00487,                    0.1,                0.00219,                0.00035,                 3.8134,                 272.48,                  5.847,               0.007525,               0.007525,               0.007525
                     27,                 1.5752,                 2.0929,                 1.8843,                0.00487,                    0.1,                0.00219,                0.00035,                 4.0114,                    inf,                 9.2229,               0.007525,               0.007525,               0.007525
                     28,                 1.5537,                 2.0691,                  1.851,                0.00487,                    0.1,                0.00219,                0.00035,                 4.7787,                    inf,                 14.041,               0.007426,               0.007426,               0.007426
                     29,                 1.5804,                 2.0005,                 1.8579,                0.00058,                0.06667,                0.00022,                  3e-05,                 4.3943,                 171.97,                 10.313,               0.007327,               0.007327,               0.007327
                     30,                 1.4936,                 1.9285,                 1.8267,                0.03658,                0.13333,                0.01594,                0.00264,                 3.6667,                 26.106,                 6.7462,               0.007228,               0.007228,               0.007228
                     31,                 1.4763,                 1.9085,                 1.7716,                0.09252,                0.06667,                0.10567,                0.02607,                 3.1242,                 15.161,                 5.5404,               0.007129,               0.007129,               0.007129
                     32,                 1.5437,                 1.9334,                 1.8611,                0.07037,                0.16667,                0.05608,                0.01437,                 3.1133,                 20.088,                 4.8976,                0.00703,                0.00703,                0.00703
                     33,                 1.5685,                 1.9113,                 1.8517,                0.08204,                0.16667,                0.07774,                 0.0311,                 2.9531,                 20.952,                 4.5206,               0.006931,               0.006931,               0.006931
