                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1408,                 2.2377,                 1.4023,                0.40513,                0.68182,                0.42624,                0.25434,                0.84464,                 8.8706,                 1.3101,                 0.0973,                 0.0003,                 0.0003
                      2,                 1.1534,                 3.7588,                 1.4219,                0.09838,                0.31818,                0.08513,                0.02749,                 1.5973,                 18.543,                  1.852,               0.093693,             0.00069307,             0.00069307
                      3,                 1.6933,                 3.0793,                 1.7314,                0.05929,                0.22727,                0.02892,                0.00734,                 2.7843,                 24.043,                 3.1771,               0.090078,              0.0010782,              0.0010782
                      4,                 1.7993,                  3.135,                 1.7827,                0.01694,                0.47727,                 0.0187,                0.00608,                 3.9696,                    inf,                 12.666,               0.086455,              0.0014555,              0.0014555
                      5,                 1.9282,                 2.4327,                 2.0066,                0.01072,                0.54545,                0.00862,                0.00383,                 3.7864,                    inf,                 23.112,               0.082825,              0.0018248,              0.0018248
                      6,                 1.8338,                 2.1803,                 1.8763,                0.00163,                0.13636,                0.00093,                0.00045,                 4.1497,                    inf,                 204.34,               0.079186,              0.0021861,              0.0021861
                      7,                  1.796,                 2.0761,                   1.85,                0.00163,                0.13636,                0.00093,                0.00045,                    nan,                    nan,                    nan,                0.07554,              0.0025396,              0.0025396
                      8,                 1.7372,                 2.1165,                 1.8225,                0.00163,                0.13636,                0.00093,                0.00045,                    nan,                    nan,                    nan,               0.071885,              0.0028852,              0.0028852
                      9,                 1.9522,                  2.174,                  2.174,                0.00163,                0.13636,                0.00093,                0.00045,                    nan,                    nan,                    nan,               0.068223,              0.0032228,              0.0032228
                     10,                 1.6593,                 2.1345,                 1.8012,                0.00163,                0.13636,                0.00093,                0.00045,                    nan,                    nan,                    nan,               0.064553,              0.0035525,              0.0035525
                     11,                 1.8261,                 2.1191,                 2.0057,                0.00163,                0.13636,                0.00093,                0.00045,                    nan,                    nan,                    nan,               0.060874,              0.0038743,              0.0038743
                     12,                 1.8713,                 2.1012,                 1.9827,                0.00163,                0.13636,                0.00093,                0.00045,                    nan,                    nan,                    nan,               0.057188,              0.0041882,              0.0041882
                     13,                 1.8169,                  1.933,                 1.9417,                0.00051,                0.04545,                0.00027,                  9e-05,                 3.6339,                    inf,                 2847.3,               0.053494,              0.0044941,              0.0044941
                     14,                 1.7892,                 2.0499,                 1.9073,                0.00789,                0.43182,                0.00597,                 0.0024,                 3.3718,                    inf,                 1303.9,               0.049792,              0.0047922,              0.0047922
                     15,                 1.7374,                 1.9491,                 1.8955,                0.01091,                0.43182,                 0.0106,                0.00342,                 4.1439,                    inf,                 1266.4,               0.046082,              0.0050823,              0.0050823
                     16,                 1.6854,                 1.9159,                 1.8897,                0.01286,                0.56818,                0.00916,                0.00307,                  4.101,                    inf,                 536.18,               0.042364,              0.0053644,              0.0053644
                     17,                 1.8788,                 1.9675,                  1.966,                0.01246,                0.59091,                0.00901,                0.00288,                 4.0778,                    inf,                 302.72,               0.038639,              0.0056387,              0.0056387
                     18,                 1.7375,                 1.8084,                 1.7561,                0.01239,                0.59091,                0.00999,                0.00317,                 4.1992,                    inf,                 232.06,               0.034905,              0.0059051,              0.0059051
                     19,                 1.8262,                 1.9034,                 1.9893,                0.00248,                0.20455,                0.00158,                0.00034,                 4.4577,                    inf,                  137.5,               0.031163,              0.0061635,              0.0061635
                     20,                 1.8237,                 2.2601,                 2.1266,                0.00385,                0.34091,                0.00275,                0.00058,                 3.5983,                    inf,                 140.63,               0.027414,               0.006414,               0.006414
                     21,                 1.6199,                 1.7633,                 1.6776,                0.00051,                0.04545,                0.00029,                  4e-05,                 3.4869,                    inf,                 31.105,               0.023657,              0.0066566,              0.0066566
                     22,                 1.5859,                 1.7405,                 1.7399,                0.01143,                0.40909,                0.00809,                0.00197,                 3.1452,                    inf,                 14.253,               0.019891,              0.0068913,              0.0068913
                     23,                 1.5832,                 1.8693,                 1.7935,                0.01058,                0.45455,                0.00787,                0.00264,                 2.6727,                 133.62,                 6.1663,               0.016118,               0.007118,               0.007118
                     24,                 1.4768,                   1.83,                 1.7464,                 0.0027,                0.22727,                0.00163,                0.00039,                 2.8069,                    158,                 5.0148,               0.012337,              0.0073369,              0.0073369
                     25,                 1.6235,                 1.8909,                 1.7908,                0.00583,                0.11364,                 0.0042,                0.00133,                 2.9369,                 46.733,                 5.1248,              0.0085478,              0.0075478,              0.0075478
                     26,                 1.5377,                 1.7786,                  1.693,                0.09091,                0.29545,                0.11536,                0.03001,                 2.8027,                 28.457,                 4.6042,               0.007525,               0.007525,               0.007525
                     27,                 1.4545,                 1.8245,                 1.6967,                 0.1325,                0.43182,                 0.1586,                0.05067,                 2.7096,                 30.755,                 3.9872,               0.007525,               0.007525,               0.007525
                     28,                 1.5341,                   1.65,                 1.6471,                0.10449,                0.38636,                0.12261,                0.03691,                 2.6827,                 31.535,                 4.2075,               0.007426,               0.007426,               0.007426
                     29,                 1.5056,                 1.6279,                 1.6704,                0.15403,                0.29545,                0.12716,                0.03322,                 2.4914,                 21.329,                  4.166,               0.007327,               0.007327,               0.007327
                     30,                 1.5123,                 1.7048,                 1.6559,                0.18713,                0.34091,                0.21339,                0.07233,                 2.1889,                 10.292,                 4.0302,               0.007228,               0.007228,               0.007228
                     31,                 1.4917,                 1.6241,                 1.6799,                0.16093,                0.56818,                0.13133,                0.04663,                 1.9686,                 7.0825,                 3.5578,               0.007129,               0.007129,               0.007129
                     32,                 1.5584,                 1.7543,                  1.706,                0.15994,                0.54545,                0.13755,                   0.04,                 2.2971,                 11.106,                 3.6525,                0.00703,                0.00703,                0.00703
                     33,                 1.4222,                 1.7389,                 1.6178,                 0.1498,                0.58866,                 0.1377,                0.04041,                  2.492,                 20.587,                 4.2043,               0.006931,               0.006931,               0.006931
                     34,                 1.5708,                 1.6679,                 1.7302,                 0.1409,                    0.5,                0.16906,                 0.0541,                 2.5183,                 20.355,                 4.0407,               0.006832,               0.006832,               0.006832
                     35,                 1.5049,                 1.5779,                  1.678,                0.16134,                0.54545,                0.25119,                0.07999,                 2.2229,                 18.209,                 3.3476,               0.006733,               0.006733,               0.006733
                     36,                 1.3138,                  1.376,                 1.5127,                0.16218,                    0.5,                0.26317,                0.09863,                 1.9846,                 16.431,                 2.9998,               0.006634,               0.006634,               0.006634
                     37,                 1.5301,                 1.6694,                 1.7074,                0.24124,                0.63636,                0.32435,                0.14014,                  1.947,                 12.727,                 2.9149,               0.006535,               0.006535,               0.006535
                     38,                 1.3568,                 1.4911,                 1.5638,                0.27263,                0.46859,                0.34746,                0.14269,                 2.0903,                 10.537,                 3.0628,               0.006436,               0.006436,               0.006436
                     39,                 1.3893,                 1.4871,                 1.5596,                0.33455,                0.45455,                 0.3633,                0.13061,                 1.9895,                 7.1194,                 2.6721,               0.006337,               0.006337,               0.006337
                     40,                 1.5015,                 1.6109,                 1.6343,                0.40423,                0.40909,                0.31068,                0.13957,                  1.932,                 5.6752,                 2.5292,               0.006238,               0.006238,               0.006238
                     41,                 1.3137,                 1.4692,                 1.5513,                0.33208,                0.34091,                0.28365,                0.13427,                 2.0807,                 5.8678,                  2.869,               0.006139,               0.006139,               0.006139
                     42,                 1.4084,                 1.5237,                 1.6317,                0.28337,                0.38636,                0.19303,                0.09635,                 2.0332,                 5.9133,                 2.7252,                0.00604,                0.00604,                0.00604
                     43,                 1.3099,                 1.4325,                 1.5208,                0.41942,                0.43182,                0.33623,                0.14783,                 1.9137,                 4.6179,                 2.3936,               0.005941,               0.005941,               0.005941
                     44,                 1.3601,                 1.3599,                 1.4988,                0.40611,                0.47727,                0.42848,                 0.2237,                  1.778,                 4.3038,                 2.2327,               0.005842,               0.005842,               0.005842
                     45,                 1.4994,                 1.8117,                   1.75,                0.52703,                0.30411,                0.36785,                0.20095,                  1.853,                 4.1688,                 2.3438,               0.005743,               0.005743,               0.005743
                     46,                 1.3233,                 1.3566,                 1.5096,                0.35503,                0.45455,                0.41608,                0.19638,                 1.7716,                 3.1993,                 2.2525,               0.005644,               0.005644,               0.005644
                     47,                 1.3369,                 1.5222,                 1.5726,                0.51398,                0.52273,                0.52052,                0.22841,                 1.7585,                 2.5114,                 2.2796,               0.005545,               0.005545,               0.005545
                     48,                 1.2121,                 1.3925,                 1.4511,                0.49842,                0.65909,                0.58235,                0.26078,                 1.8039,                 2.3343,                 2.3613,               0.005446,               0.005446,               0.005446
                     49,                 1.3317,                 1.4556,                 1.5037,                0.59531,                0.52273,                0.58974,                0.25404,                 1.8544,                 2.3552,                 2.5342,               0.005347,               0.005347,               0.005347
