                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8177,                  2.901,                 1.2155,                0.52706,                   0.65,                0.62929,                0.50855,                0.74988,                 1.7453,                 1.2485,                    0.1,                      0,                      0
                      2,                0.64442,                 1.8738,                 1.1536,                0.66952,                    0.6,                0.51815,                 0.3916,                 1.4881,                 2.7745,                 1.9419,               0.099099,              9.901e-05,              9.901e-05
                      3,                0.90651,                 1.7478,                 1.3087,                0.02096,                    0.8,                0.04115,                0.02329,                  1.427,                 3.5201,                 1.9127,               0.098196,             0.00019604,             0.00019604
                      4,                0.75255,                 2.5175,                 1.1484,                0.03075,                   0.65,                0.05755,                0.01648,                    2.2,                  3.416,                 2.6521,               0.097291,             0.00029109,             0.00029109
                      5,                0.74534,                 1.3204,                 1.0964,                0.25587,                   0.35,                 0.2962,                0.13712,                 2.3727,                 3.3018,                 2.8032,               0.096384,             0.00038416,             0.00038416
                      6,                0.78767,                 1.6072,                  1.163,                0.77151,                    0.1,                0.13653,                0.04751,                 2.7903,                 3.5913,                 3.3866,               0.095475,             0.00047525,             0.00047525
                      7,                0.98936,                 1.7746,                 1.2595,                0.94915,                    0.1,                0.15874,                  0.058,                 2.7112,                 3.4633,                 3.1086,               0.094564,             0.00056436,             0.00056436
                      8,                0.87132,                 1.7617,                 1.0994,                0.73963,                    0.1,                0.10947,                0.03259,                 2.4873,                 4.7601,                 3.1865,               0.093651,             0.00065149,             0.00065149
                      9,                0.98138,                 1.9469,                 1.0968,                0.06108,                    0.3,                0.05026,                0.01049,                 2.6232,                 4.6376,                 3.0546,               0.092737,             0.00073664,             0.00073664
                     10,                 1.2217,                 1.5988,                 1.3401,                0.54285,                    0.1,                0.01471,                0.00743,                 2.9412,                 4.1993,                 4.0311,                0.09182,             0.00081981,             0.00081981
                     11,                 1.2721,                 1.6868,                 1.4544,                0.01163,                    0.1,                0.05346,                0.01044,                  3.376,                 5.0248,                 5.3693,               0.090901,               0.000901,               0.000901
                     12,                 1.3224,                 1.7726,                 1.3657,                0.01163,                    0.1,                0.05346,                0.01044,                 3.5426,                 5.3085,                 5.1699,                0.08998,             0.00098021,             0.00098021
                     13,                 1.2525,                 1.9015,                 1.4097,                0.01163,                    0.1,                0.05346,                0.01044,                  3.568,                 5.0852,                 4.0674,               0.089057,              0.0010574,              0.0010574
                     14,                 1.0627,                 2.6246,                 1.4529,                0.01163,                    0.1,                0.05346,                0.01044,                 3.9093,                 16.202,                 5.2939,               0.088133,              0.0011327,              0.0011327
                     15,                 1.2935,                 1.8763,                 1.4661,                0.01163,                    0.1,                0.05346,                0.01044,                 3.7892,                 27.573,                 5.2914,               0.087206,               0.001206,               0.001206
                     16,                 1.2389,                 1.9782,                 1.3957,                0.02073,                   0.25,                0.02519,                0.00504,                  4.596,                 69.187,                 13.451,               0.086277,              0.0012772,              0.0012772
